datetime,rain_coverage,rainy_threat,kakuho_threat
202003190620,0.096,0.53,0.519
202003190625,0.1,0.53,0.507
202003190720,0.116,0.562,0.53
202003190725,0.11800000000000001,0.55,0.525
202003190730,0.121,0.555,0.5379999999999999
202003190740,0.127,0.527,0.529
202003190750,0.129,0.552,0.542
202003190800,0.134,0.526,0.545
202003190815,0.138,0.546,0.516
202003190825,0.141,0.547,0.521
202003190835,0.14,0.562,0.526
202003190845,0.142,0.564,0.5379999999999999
202003190855,0.14400000000000002,0.551,0.526
202003190905,0.147,0.563,0.5429999999999999
202003190920,0.14300000000000002,0.58,0.546
202003190930,0.142,0.564,0.547
202003190940,0.142,0.564,0.5489999999999999
202003190950,0.142,0.562,0.5589999999999999
202003191000,0.14400000000000002,0.58,0.58
202003191010,0.145,0.58,0.573
202003191025,0.14800000000000002,0.583,0.5720000000000001
202003191035,0.14800000000000002,0.585,0.5720000000000001
202003191045,0.14800000000000002,0.579,0.59
202003191055,0.15,0.579,0.578
202003191105,0.151,0.5820000000000001,0.574
202003191115,0.153,0.5710000000000001,0.5660000000000001
202003191130,0.154,0.564,0.5720000000000001
202003191140,0.153,0.5660000000000001,0.5660000000000001
202003191150,0.15,0.5670000000000001,0.5670000000000001
202003230335,0.027999999999999997,0.317,0.295
202003230350,0.028,0.28800000000000003,0.298
202003230400,0.027000000000000003,0.3,0.29
202003230410,0.027000000000000003,0.327,0.311
202003230420,0.026000000000000002,0.327,0.298
202003230430,0.026,0.335,0.313
